company_name,company_tier,official_domain,company_name_en,region,aliases,discovery_method,candidate_seed_type,candidate_seed_url,candidate_seed_title,candidate_seed_reason
(주)페블러스,스타트업,pebblous.ai,,수도권,,manual_seed_live,KORAIA_AI_기업편람,https://startups.koraia.org/company/523,KOREA AI Startups company detail,한국인공지능산업협회 AI 기업편람 기반 스타트업·중소기업 확장 시드
메디허브,스타트업,doctorflex.co.kr,,수도권,,manual_seed_live,KORAIA_AI_기업편람,https://startups.koraia.org/company/524,KOREA AI Startups company detail,한국인공지능산업협회 AI 기업편람 기반 스타트업·중소기업 확장 시드
에이아이트릭스,스타트업,aitrics.com,,수도권,,manual_seed_live,KORAIA_AI_기업편람,https://startups.koraia.org/company/530,KOREA AI Startups company detail,한국인공지능산업협회 AI 기업편람 기반 스타트업·중소기업 확장 시드
주식회사 모블디,스타트업,mobldi.com,,수도권,,manual_seed_live,KORAIA_AI_기업편람,https://startups.koraia.org/company/511,KOREA AI Startups company detail,한국인공지능산업협회 AI 기업편람 기반 스타트업·중소기업 확장 시드
임팩티브AI,스타트업,impactive-ai.com,,수도권,,manual_seed_live,KORAIA_AI_기업편람,https://startups.koraia.org/company/513,KOREA AI Startups company detail,한국인공지능산업협회 AI 기업편람 기반 스타트업·중소기업 확장 시드
픽셀스코프,스타트업,pxscope.com,,수도권,,manual_seed_live,KORAIA_AI_기업편람,https://startups.koraia.org/company/499,KOREA AI Startups company detail,한국인공지능산업협회 AI 기업편람 기반 스타트업·중소기업 확장 시드
이노피아테크,중견/중소,innopia.co.kr,,수도권,,manual_seed_live,KORAIA_AI_기업편람,https://startups.koraia.org/company/460,KOREA AI Startups company detail,한국인공지능산업협회 AI 기업편람 기반 스타트업·중소기업 확장 시드
티에스엔랩(주),스타트업,tsnlab.com,,수도권,,manual_seed_live,KORAIA_AI_기업편람,https://startups.koraia.org/company/461,KOREA AI Startups company detail,한국인공지능산업협회 AI 기업편람 기반 스타트업·중소기업 확장 시드
타우데이타 주식회사,스타트업,taudata.co.kr,,수도권,,manual_seed_live,KORAIA_AI_기업편람,https://startups.koraia.org/company/468,KOREA AI Startups company detail,한국인공지능산업협회 AI 기업편람 기반 스타트업·중소기업 확장 시드
(주)인피닉,스타트업,infiniq.co.kr,,수도권,,manual_seed_live,KORAIA_AI_기업편람,https://startups.koraia.org/company/472,KOREA AI Startups company detail,한국인공지능산업협회 AI 기업편람 기반 스타트업·중소기업 확장 시드
주식회사 스마트라이드,스타트업,smartride.co.kr,,수도권,,manual_seed_live,KORAIA_AI_기업편람,https://startups.koraia.org/company/446,KOREA AI Startups company detail,한국인공지능산업협회 AI 기업편람 기반 스타트업·중소기업 확장 시드
