company_name,company_tier,official_domain,company_name_en,region,aliases,discovery_method,candidate_seed_type,candidate_seed_url,candidate_seed_title,candidate_seed_reason
메디인테크,스타트업,medintech.co.kr,,대한민국,,manual_seed_import,KOREA_AI_STARTUP_100,https://aistartuptop100.co.kr/page/s2/s1.php?sty=2023,KOREA AI STARTUP 100 기업정보 2023,공식 KOREA AI STARTUP 100 기업정보 페이지 기반 bounded 확장
마크비전,스타트업,marqvision.com,,대한민국,,manual_seed_import,KOREA_AI_STARTUP_100,https://aistartuptop100.co.kr/page/s2/s1.php?sty=2023,KOREA AI STARTUP 100 기업정보 2023,공식 KOREA AI STARTUP 100 기업정보 페이지 기반 bounded 확장
바스젠바이오,스타트업,basgenbio.com,,대한민국,,manual_seed_import,KOREA_AI_STARTUP_100,https://aistartuptop100.co.kr/page/s2/s1.php?sty=2023,KOREA AI STARTUP 100 기업정보 2023,공식 KOREA AI STARTUP 100 기업정보 페이지 기반 bounded 확장
휴이노,스타트업,huinno.com,,대한민국,,manual_seed_import,KOREA_AI_STARTUP_100,https://aistartuptop100.co.kr/page/s2/s1.php?sty=2023,KOREA AI STARTUP 100 기업정보 2023,공식 KOREA AI STARTUP 100 기업정보 페이지 기반 bounded 확장
휴멜로,스타트업,humelo.com,,대한민국,,manual_seed_import,KOREA_AI_STARTUP_100,https://aistartuptop100.co.kr/page/s2/s1.php?sty=2023,KOREA AI STARTUP 100 기업정보 2023,공식 KOREA AI STARTUP 100 기업정보 페이지 기반 bounded 확장
해줌,스타트업,haezoom.com,,대한민국,,manual_seed_import,KOREA_AI_STARTUP_100,https://aistartuptop100.co.kr/page/s2/s1.php?sty=2023,KOREA AI STARTUP 100 기업정보 2023,공식 KOREA AI STARTUP 100 기업정보 페이지 기반 bounded 확장
플라스크,스타트업,plask.ai,,대한민국,,manual_seed_import,KOREA_AI_STARTUP_100,https://aistartuptop100.co.kr/page/s2/s1.php?sty=2023,KOREA AI STARTUP 100 기업정보 2023,공식 KOREA AI STARTUP 100 기업정보 페이지 기반 bounded 확장
펫나우,스타트업,petnow.io,,대한민국,,manual_seed_import,KOREA_AI_STARTUP_100,https://aistartuptop100.co.kr/page/s2/s1.php?sty=2023,KOREA AI STARTUP 100 기업정보 2023,공식 KOREA AI STARTUP 100 기업정보 페이지 기반 bounded 확장
펀진,스타트업,funzin.co.kr,,대한민국,,manual_seed_import,KOREA_AI_STARTUP_100,https://aistartuptop100.co.kr/page/s2/s1.php?sty=2023,KOREA AI STARTUP 100 기업정보 2023,공식 KOREA AI STARTUP 100 기업정보 페이지 기반 bounded 확장
파일러,스타트업,pyler.tech,,대한민국,,manual_seed_import,KOREA_AI_STARTUP_100,https://aistartuptop100.co.kr/page/s2/s1.php?sty=2023,KOREA AI STARTUP 100 기업정보 2023,공식 KOREA AI STARTUP 100 기업정보 페이지 기반 bounded 확장
클래스팅,스타트업,classting.com,,대한민국,,manual_seed_import,KOREA_AI_STARTUP_100,https://aistartuptop100.co.kr/page/s2/s1.php?sty=2023,KOREA AI STARTUP 100 기업정보 2023,공식 KOREA AI STARTUP 100 기업정보 페이지 기반 bounded 확장
크로커스,스타트업,crocus.ai,,대한민국,,manual_seed_import,KOREA_AI_STARTUP_100,https://aistartuptop100.co.kr/page/s2/s1.php?sty=2023,KOREA AI STARTUP 100 기업정보 2023,공식 KOREA AI STARTUP 100 기업정보 페이지 기반 bounded 확장
