company_name,company_tier,official_domain,company_name_en,region,aliases,discovery_method,candidate_seed_type,candidate_seed_url,candidate_seed_title,candidate_seed_reason
라이트웨이트,스타트업,lightweight.kr,,서울,,manual_seed_import,SEOUL_AI_HUB_COMPANY_LIST,https://www.seoulaihub.kr/partner/partner.asp?scrID=0000000195&pageNum=2&subNum=1&ssubNum=1&page=1,서울 AI 허브 입주·졸업기업 공식 리스트,서울 AI 허브 공식 resident roster 기반 기업 모집단 확장
이네이블러,스타트업,enabler-ai.com,,서울,,manual_seed_import,SEOUL_AI_HUB_COMPANY_LIST,https://www.seoulaihub.kr/partner/partner.asp?scrID=0000000195&pageNum=2&subNum=1&ssubNum=1&page=1,서울 AI 허브 입주·졸업기업 공식 리스트,서울 AI 허브 공식 resident roster 기반 기업 모집단 확장
온더플라이,스타트업,otfly.ai,,서울,,manual_seed_import,SEOUL_AI_HUB_COMPANY_LIST,https://www.seoulaihub.kr/partner/partner.asp?scrID=0000000195&pageNum=2&subNum=1&ssubNum=1&page=1,서울 AI 허브 입주·졸업기업 공식 리스트,서울 AI 허브 공식 resident roster 기반 기업 모집단 확장
스위트앤데이터,스타트업,sweetndata.kr,,서울,,manual_seed_import,SEOUL_AI_HUB_COMPANY_LIST,https://www.seoulaihub.kr/partner/partner.asp?scrID=0000000195&pageNum=2&subNum=1&ssubNum=1&page=1,서울 AI 허브 입주·졸업기업 공식 리스트,서울 AI 허브 공식 resident roster 기반 기업 모집단 확장
컴패노이드랩스,스타트업,sf49.studio,,서울,,manual_seed_import,SEOUL_AI_HUB_COMPANY_LIST,https://www.seoulaihub.kr/partner/partner.asp?scrID=0000000195&pageNum=2&subNum=1&ssubNum=1&page=1,서울 AI 허브 입주·졸업기업 공식 리스트,서울 AI 허브 공식 resident roster 기반 기업 모집단 확장
모비니티,스타트업,mobinity.io,,서울,,manual_seed_import,SEOUL_AI_HUB_COMPANY_LIST,https://www.seoulaihub.kr/partner/partner.asp?scrID=0000000195&pageNum=2&subNum=1&ssubNum=1&page=1,서울 AI 허브 입주·졸업기업 공식 리스트,서울 AI 허브 공식 resident roster 기반 기업 모집단 확장
에이머슬리,스타트업,amously.ai,,서울,,manual_seed_import,SEOUL_AI_HUB_COMPANY_LIST,https://www.seoulaihub.kr/partner/partner.asp?scrID=0000000195&pageNum=2&subNum=1&ssubNum=1&page=1,서울 AI 허브 입주·졸업기업 공식 리스트,서울 AI 허브 공식 resident roster 기반 기업 모집단 확장
플라이북,스타트업,flybook.kr,,서울,,manual_seed_import,SEOUL_AI_HUB_COMPANY_LIST,https://www.seoulaihub.kr/partner/partner.asp?scrID=0000000195&pageNum=2&subNum=1&ssubNum=1&page=1,서울 AI 허브 입주·졸업기업 공식 리스트,서울 AI 허브 공식 resident roster 기반 기업 모집단 확장
비아,스타트업,owler.kr,,서울,,manual_seed_import,SEOUL_AI_HUB_COMPANY_LIST,https://www.seoulaihub.kr/partner/partner.asp?scrID=0000000195&pageNum=2&subNum=1&ssubNum=1&page=1,서울 AI 허브 입주·졸업기업 공식 리스트,서울 AI 허브 공식 resident roster 기반 기업 모집단 확장
통하는사람들,스타트업,hongtong.kr,,서울,,manual_seed_import,SEOUL_AI_HUB_COMPANY_LIST,https://www.seoulaihub.kr/partner/partner.asp?scrID=0000000195&pageNum=2&subNum=1&ssubNum=1&page=1,서울 AI 허브 입주·졸업기업 공식 리스트,서울 AI 허브 공식 resident roster 기반 기업 모집단 확장
페칭,스타트업,fetching.co.kr,,서울,,manual_seed_import,SEOUL_AI_HUB_COMPANY_LIST,https://www.seoulaihub.kr/partner/partner.asp?scrID=0000000195&pageNum=2&subNum=1&ssubNum=1&page=1,서울 AI 허브 입주·졸업기업 공식 리스트,서울 AI 허브 공식 resident roster 기반 기업 모집단 확장
프롬프트타운,스타트업,crev.ai,,서울,,manual_seed_import,SEOUL_AI_HUB_COMPANY_LIST,https://www.seoulaihub.kr/partner/partner.asp?scrID=0000000195&pageNum=2&subNum=1&ssubNum=1&page=1,서울 AI 허브 입주·졸업기업 공식 리스트,서울 AI 허브 공식 resident roster 기반 기업 모집단 확장
디지털로그 테크놀로지스,스타트업,digitalog.ai,,서울,,manual_seed_import,SEOUL_AI_HUB_COMPANY_LIST,https://www.seoulaihub.kr/partner/partner.asp?scrID=0000000195&pageNum=2&subNum=1&ssubNum=1&page=1,서울 AI 허브 입주·졸업기업 공식 리스트,서울 AI 허브 공식 resident roster 기반 기업 모집단 확장
익스플러스,스타트업,expl.us,,서울,,manual_seed_import,SEOUL_AI_HUB_COMPANY_LIST,https://www.seoulaihub.kr/partner/partner.asp?scrID=0000000195&pageNum=2&subNum=1&ssubNum=1&page=1,서울 AI 허브 입주·졸업기업 공식 리스트,서울 AI 허브 공식 resident roster 기반 기업 모집단 확장
업사이트,스타트업,upsight.co.kr,,서울,,manual_seed_import,SEOUL_AI_HUB_COMPANY_LIST,https://www.seoulaihub.kr/partner/partner.asp?scrID=0000000195&pageNum=2&subNum=1&ssubNum=1&page=1,서울 AI 허브 입주·졸업기업 공식 리스트,서울 AI 허브 공식 resident roster 기반 기업 모집단 확장
리얼드로우,스타트업,realdraw.ai,,서울,,manual_seed_import,SEOUL_AI_HUB_COMPANY_LIST,https://www.seoulaihub.kr/partner/partner.asp?scrID=0000000195&pageNum=2&subNum=1&ssubNum=1&page=1,서울 AI 허브 입주·졸업기업 공식 리스트,서울 AI 허브 공식 resident roster 기반 기업 모집단 확장
호랑에듀,스타트업,horang.it,,서울,,manual_seed_import,SEOUL_AI_HUB_COMPANY_LIST,https://www.seoulaihub.kr/partner/partner.asp?scrID=0000000195&pageNum=2&subNum=1&ssubNum=1&page=1,서울 AI 허브 입주·졸업기업 공식 리스트,서울 AI 허브 공식 resident roster 기반 기업 모집단 확장
서큘러스,스타트업,circul.us,,서울,,manual_seed_import,SEOUL_AI_HUB_COMPANY_LIST,https://www.seoulaihub.kr/partner/partner.asp?scrID=0000000195&pageNum=2&subNum=1&ssubNum=1&page=1,서울 AI 허브 입주·졸업기업 공식 리스트,서울 AI 허브 공식 resident roster 기반 기업 모집단 확장
크로스허브,스타트업,crosshub.ai,,서울,,manual_seed_import,SEOUL_AI_HUB_COMPANY_LIST,https://www.seoulaihub.kr/partner/partner.asp?scrID=0000000195&pageNum=2&subNum=1&ssubNum=1&page=1,서울 AI 허브 입주·졸업기업 공식 리스트,서울 AI 허브 공식 resident roster 기반 기업 모집단 확장
도로,스타트업,doroedu.net,,서울,,manual_seed_import,SEOUL_AI_HUB_COMPANY_LIST,https://www.seoulaihub.kr/partner/partner.asp?scrID=0000000195&pageNum=2&subNum=1&ssubNum=1&page=1,서울 AI 허브 입주·졸업기업 공식 리스트,서울 AI 허브 공식 resident roster 기반 기업 모집단 확장
이제이엠컴퍼니,스타트업,wooriga.kr,,서울,,manual_seed_import,SEOUL_AI_HUB_COMPANY_LIST,https://www.seoulaihub.kr/partner/partner.asp?scrID=0000000195&pageNum=2&subNum=1&ssubNum=1&page=1,서울 AI 허브 입주·졸업기업 공식 리스트,서울 AI 허브 공식 resident roster 기반 기업 모집단 확장
디자인드에이아이,스타트업,designedai.com,,서울,,manual_seed_import,SEOUL_AI_HUB_COMPANY_LIST,https://www.seoulaihub.kr/partner/partner.asp?scrID=0000000195&pageNum=2&subNum=1&ssubNum=1&page=1,서울 AI 허브 입주·졸업기업 공식 리스트,서울 AI 허브 공식 resident roster 기반 기업 모집단 확장
클럼엘,스타트업,cluml.com,,서울,,manual_seed_import,SEOUL_AI_HUB_COMPANY_LIST,https://www.seoulaihub.kr/partner/partner.asp?scrID=0000000195&pageNum=2&subNum=1&ssubNum=1&page=1,서울 AI 허브 입주·졸업기업 공식 리스트,서울 AI 허브 공식 resident roster 기반 기업 모집단 확장
