company_name,company_tier,source_name,source_url,source_type,source_bucket,source_domain,official_domain,official_domain_confidence,source_quality_score,is_official_hint,structure_hint,discovery_method,verification_status,failure_count,last_success_at,last_active_job_count,quarantine_reason,is_quarantined
앵커노드,중견/중소,앵커노드 공식 채용,https://www.anchornode.io/talent,html_page,approved,www.anchornode.io,anchornode.io,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
앵커노드,중견/중소,앵커노드 공식 채용,https://www.anchornode.io/recruit,html_page,approved,www.anchornode.io,anchornode.io,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
한국로봇산업진흥원,공공·연구기관,한국로봇산업진흥원 공식 채용,https://kiria.org/portal/info/portalInfoJobList.do;jsessionid=57CF1DD928262B52449E71BA2E6437CC,html_page,approved,kiria.org,kiria.org,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
ISC,대기업,ISC 공식 채용,https://isc21.kr/main_e/careers.html,html_page,approved,isc21.kr,isc21.kr,0.99,0.75,True,html,homepage_link_probe,실패,11.0,2026-04-02T01:38:08+09:00,0.0,,False
제이아이테크,중견/중소,제이아이테크 공식 채용,https://www.ji-tech.co.kr/recruit/recruit.php,html_page,approved,www.ji-tech.co.kr,ji-tech.co.kr,0.99,0.75,True,html,homepage_link_probe,실패,12.0,2026-04-02T00:03:18+09:00,0.0,,False
제이아이테크,중견/중소,제이아이테크 공식 채용,https://www.ji-tech.co.kr/recruit/part.php,html_page,approved,www.ji-tech.co.kr,ji-tech.co.kr,0.99,0.75,True,html,homepage_link_probe,실패,12.0,2026-04-02T00:03:18+09:00,0.0,,False
파수,중견/중소,파수 공식 채용,https://www.fasoo.com/recruit,html_page,approved,www.fasoo.com,fasoo.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
한국로봇산업진흥원,공공·연구기관,한국로봇산업진흥원 공식 채용,https://kiria.org/portal/info/portalInfoJobList.do;jsessionid=32578D60130706F43548758944D4F688,html_page,approved,kiria.org,kiria.org,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
한국로봇산업진흥원,공공·연구기관,한국로봇산업진흥원 공식 채용,https://kiria.org/portal/info/portalInfoJobList.do;jsessionid=4B418FF3058A065D5A352498AE6D3AA2,html_page,approved,kiria.org,kiria.org,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
딥바이오,스타트업,딥바이오 공식 채용,https://deepbio.co.kr/career,html_page,approved,deepbio.co.kr,deepbio.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
바스젠바이오,스타트업,바스젠바이오 공식 채용,https://basgenbio.com/kr/sub/career/recruit.php,html_page,approved,basgenbio.com,basgenbio.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T13:57:53+09:00,0.0,,False
트위니,스타트업,트위니 공식 채용,http://twinny.ai/recruit,html_page,approved,twinny.ai,twinny.ai,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
마키나락스,중견/중소,마키나락스 공개 ATS,https://makinarocks.career.greetinghr.com,greetinghr,approved,makinarocks.career.greetinghr.com,makinarocks.ai,0.99,0.85,True,ats,homepage_link_probe,성공,0.0,2026-04-12T16:44:01+09:00,14.0,,False
